Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Applications (product.metafields.custom.applications),Compliance & Certifications (product.metafields.custom.compliance_certifications),Is Hazmat? (product.metafields.custom.is_hazmat),Lead time (product.metafields.custom.lead_time),Manufacturer Part Number (product.metafields.custom.manufacturer_part_number),Military Specifications (product.metafields.custom.mil_specs),NSN (product.metafields.custom.nsn),QPL (product.metafields.custom.qpl),SAE Color (product.metafields.custom.sae_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hentzen-pg-6-g1-mil-prf-85285-type-i,"Hentzen PG-6-G1/PH-34, MIL-PRF-85285 Type I (QQL)","<div>
<div><span>This High Solids Polyurethane topcoat series, with low VOC, is designed for use on aircraft and other equipment requiring chemical resistance and color retention. When fully cured these coatings exhibit skydrol and mar resistance and meet the most demanding aerospace specifications for chemical resistance, hardness, flexibility, color and gloss retention.</span></div>
</div>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Size,Gallon,,,,,,,,AXPG-6-G1  G2,10432.62451,shopify,5,continue,manual,463.40,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024.jpg?v=1771607608,1,"",false,,,1470,,,,,,,,,,,Aviation,"BAMS 565-009 TYPE I, CLASS A, GRADE B;BMS 10-60, TYPE II, CLASS B, GRADE D;BMS 10-72R, TYPE VI;CMS 565-09, TYPE II CLASS A GRADE B;DMS 2112, COMP C;MIL-C-83286;MIL-C-85285",FALSE,3,PG-6-G1,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024.jpg?v=1771607608,lb,,,active
hentzen-pg-6-g1-mil-prf-85285-type-i,,,,,,,,,Quart,,,,,,,,AXPG-6-G1 Q2,2721.55422,shopify,3,continue,manual,131.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0750/8767/5550/files/sealant-can-1024.jpg?v=1771607575,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/sealant-can-1024.jpg?v=1771607575,lb,,,
hentzen-pg-6-g1-mil-prf-85285-type-i,,,,,,,,,2oz Touch-up Kit,,,,,,,,AXPG-6-G1  2-OZ/KIT,226.796185,shopify,111,continue,manual,25.43,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-2oz-1024.jpg?v=1771607604,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-2oz-1024.jpg?v=1771607604,lb,,,
hentzen-ad9325-mil-prf-23377-type-ii,"Hentzen AD9325 + AD2298, Green Epoxy Primer, MIL-PRF-23377 Type II Class C2 (QPL)","<p>Hentzen's Low IR Green Epoxy Primer. This high-performance primer is qualified to the MIL-PRF-23377 Type II Class C2 specification, providing excellent corrosion resistance.</p>",Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-23377",true,Title,Default Title,,,,,,,,HZKAD9325_G,10432.579150763,shopify,3,continue,manual,378.56,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen AD9325, Green Primer, MIL-PRF-23377 Type II (QPL)",Hentzen Green Low IR Epoxy Primer. High-performance aerospace primer qualified to MIL-PRF-23377 Type II Class C2.,1470,,,,,,,,,,,Aviation,,TRUE,0,AD9325 + AD2298,mil-prf-23377-k-type-ii-class-c2,,mil-prf-23377-k-type-ii-class-c2,,,,,,,,lb,,,active
hentzen-ad9320-mil-prf-85582-type-i,"Hentzen AD9320 + AD2304, Dark Green Epoxy Primer, MIL-PRF-85582 Type I Class C2 (QPL)",<p>Hentzen's Water Reducible Aquaprime Epoxy Primer. This low gloss dark green primer is qualified to the MIL-PRF-85582 Type I Class C2 specification for aircraft protection.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-85582",true,Title,Default Title,,,,,,,,HZKAD9320_G,10432.579150763,shopify,100,continue,manual,286.44,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen AD9320, Green Primer, MIL-PRF-85582 Type I (QPL)",Hentzen Dark Green Water Reducible Epoxy Primer. High performance qualified to MIL-PRF-85582 Type I Class C2.,1470,,,,,,,,,,,Aviation,,TRUE,90,AD9320 + AD2304,mil-prf-85582-type-i-class-c2,,mil-prf-85582-type-i-class-c2,,,,,,,,lb,,,active
hentzen-ad9318-fd-mil-prf-23377k-type-i,"Hentzen AD9318-FD + AD2298, Yellow Epoxy Primer, MIL-PRF-23377K Type I Class C2 (QPL)",<p>Hentzen's Yellow Aerospace High Performance Epoxy Primer. This high solids primer is formulated for excellent corrosion resistance and meets all MIL-PRF-23377K performance requirements.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-23377",true,Title,Default Title,,,,,,,,HZKAD9318-FD_G,10432.579150763,shopify,5,continue,manual,317.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen AD9318-FD, Yellow Primer, MIL-PRF-23377 Type I (QPL)",Hentzen Yellow Epoxy Primer. High performance corrosion resistance. QPL MIL-PRF-23377K Type I Class C2.,1470,,,,,,,,,,,Aviation,,TRUE,3,AD9318-FD + AD2298,mil-prf-23377-k-type-i-class-c2,8010-01-416-6557,mil-prf-23377-k-type-i-class-c2,,,,,,,,lb,,,active
hentzen-ad3247-mil-prf-85582-type-ii,"Hentzen AD3247 + AD2304, Green Epoxy Primer, MIL-PRF-85582 Type II Class C2 (QPL)",<p>Hentzen's Water Reducible Aquaprime Epoxy Primer in Low Gloss Green. This low IR primer is qualified to MIL-PRF-85582 Type II Class C2 for aerospace use.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-85582",true,Title,Default Title,,,,,,,,HZKAD3247_G,10432.579150763,shopify,100,continue,manual,284.28,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen AD3247, Green Primer, MIL-PRF-85582 Type II (QPL)",Hentzen Water Reducible Green Epoxy Primer. Low IR/Low Gloss qualified to MIL-PRF-85582 Type II Class C2.,1470,,,,,,,,,,,Aviation,,TRUE,90,AD3247 + AD2304,mil-prf-85582-type-ii-class-c2,,mil-prf-85582-type-ii-class-c2,,,,,,,,lb,,,active
hentzen-53012yep-mil-prf-23377-type-i,"Hentzen 53012YEP + 16709CEH, Yellow Epoxy Primer, MIL-PRF-23377 Type I Class C1 (QPL)",<p>Hentzen's Chromated Yellow High Solids Epoxy Primer. This product provides excellent corrosion resistance and is qualified to the MIL-PRF-23377K Type I Class C1 specification.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-23377",true,Title,Default Title,,,,,,,,HZK53012YEP_G,10432.579150763,shopify,100,continue,manual,504.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 53012YEP, Yellow Primer, MIL-PRF-23377 Type I (QPL)",Hentzen Yellow Chromated Epoxy Primer. High solids with excellent corrosion resistance. QPL MIL-PRF-23377K.,1470,,,,,,,,,,,Aviation,,TRUE,90,53012YEP + 16709CEH,mil-prf-23377-k-type-i-class-c1,,mil-prf-23377-k-type-i-class-c1,,,,,,,,lb,,,active
hentzen-k35554zpx-mil-prf-85285e-type-i,"Hentzen K35554ZPX, Gray Flat Topcoat, MIL-PRF-85285E Type I/IV (QPL)","<p>Hentzen's Gray Flat High Solid Urethane, Fed. Std. 595 Color #17178. This aerospace coating is qualified to LMCO FMS-1027 Type V and MIL-PRF-85285 Type I/IV Class H.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK35554ZPX-T1,10432.579150763,shopify,100,continue,manual,921.60,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K35554ZPX, Gray Flat, MIL-PRF-85285 Type I/IV (QPL)",Hentzen Gray Flat Urethane #17178. Qualified to MIL-PRF-85285 Type I/IV and LMCO FMS-1027 Type V.,1470,,,,,,,,,,,Aviation,LMCO FMS-1027 Type V,FALSE,0,K35554ZPX,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,17178,,,,,,,lb,,,active
hentzen-3174yvp-1-mil-c-8514c-type-primer,"Hentzen 3174YVP-1 + 3175SSC, Yellow Wash Primer, MIL-C-8514C (QPL)",<p>Hentzen's Yellow Wash Primer Pretreatment. This military grade primer is designed for metal pretreatment and is qualified to the MIL-C-8514C specification.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,mil-c-8514c,true,Title,Default Title,,,,,,,,HZK3174YVP-1  K-2GL,10432.579150763,shopify,100,continue,manual,352.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 3174YVP-1, Yellow Primer, MIL-C-8514C",Hentzen Yellow Wash Primer Pretreatment. Professional grade metal primer qualified to MIL-C-8514C.,1470,,,,,,,,,,,Aviation,,TRUE,30,3174YVP-1 + 3175SSC,,,,,,,,,,,lb,,,active
hentzen-k31675lpx-t1-mil-prf-85285e-type-i,"Hentzen K31675LPX-T1 + CAT 06480CMU, Dark Green Topcoat, MIL-PRF-85285E Type I (QPL)",<p>Hentzen's Dark Green Columbia Police High Solid Urethane. This aircraft grade coating provides outstanding toughness and excellent outside durability.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31675LPX-T1,10432.579150763,shopify,100,continue,manual,850.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31675LPX, Dark Green, MIL-PRF-85285 Type I (QPL)",Hentzen Dark Green Urethane. Aircraft grade coating qualified to MIL-PRF-85285E Type I.,1470,,,,,,,,,,,Aviation,,TRUE,30,K31675LPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,,,,,,,,lb,,,active
hentzen-k31363ypx-t1-mil-prf-85285e-type-i,"Hentzen K31363YPX-T1_G, Yellow Gloss Topcoat, MIL-PRF-85285E Type I","<p>Hentzen's Yellow Gloss High Solid Urethane, Fed. Std. 595 Color #13655. This aircraft coating exhibits excellent durability and chemical resistance for professional applications.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31363YPX-T1,10432.579150763,shopify,100,continue,manual,850.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31363YPX, Yellow Gloss, MIL-PRF-85285",Hentzen Yellow Gloss Urethane #13655. High solids aircraft coating meeting MIL-PRF-85285 Type I.,1470,,,,,,,,,,,Aviation,,TRUE,0,K31363YPX-T1_G,mil-prf-85285-f-type-i-class-h,,,13655,,,,,,,lb,,,active
hentzen-k31362rpx-t1-mil-prf-85285e-type-i,"Hentzen K31362RPX-T1 + CAT 06480CMU, Red Gloss Topcoat, MIL-PRF-85285E Type I (QPL)","<p>Hentzen's Red Gloss High Solid Urethane, Fed. Std. 595 Color #11350. This aerospace coating provides excellent chemical resistance and outstanding toughness.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31362RPX-T1,10432.579150763,shopify,100,continue,manual,850.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31362RPX, Red Gloss, MIL-PRF-85285 Type I (QPL)",Hentzen Red Gloss Urethane #11350. High solids aircraft coating qualified to MIL-PRF-85285E Type I.,1470,,,,,,,,,,,Aviation,,TRUE,30,K31362RPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,11350,,,,,,,lb,,,active
hentzen-k31320gpx-t1-mil-prf-85285e-type-i,"Hentzen 31320GPX-T1, Green Flat Topcoat, MIL-PRF-85285E Type I/II (QPL)",<p>Hentzen's Green Flat Polyurethane Topcoat. This high-performance coating is qualified to the MIL-PRF-85285E Type I &amp; II Class H specifications for aerospace applications.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31320GPX-T1,10432.579150763,shopify,100,continue,manual,481.85,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31320GPX, Green Flat, MIL-PRF-85285 Type I/II (QPL)",Hentzen Green Flat Topcoat. High-performance polyurethane qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,31320GPX-T1,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,,,,,,,lb,,,active
hentzen-k31156apx-t1-mil-prf-85285f-type-i,"Hentzen 31156APX-T1 + CAT 06480CMU, Gray Flat Topcoat, MIL-PRF-85285F Type I (QPL)","<p>Hentzen's Gray Flat High Solid Urethane, Fed. Std. Color #36270. This aircraft coating exhibits outstanding toughness and flexibility with excellent outside durability.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31156APX-T1,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31156APX, Gray Flat, MIL-PRF-85285 Type I (QPL)",Hentzen Gray Flat Urethane #36270. High solids aircraft coating qualified to MIL-PRF-85285F Type I.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,31156APX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,36270,,,,,,,lb,,,active
hentzen-k31148apx-t1-mil-prf-85285e-type-i,"Hentzen K31148APX-T1 + CAT 06480CMU, Gray Flat Topcoat, MIL-PRF-85285E Type I/II (QPL)","<p>Hentzen's Gray Flat Urethane coating, Fed. Std. 595 Color #36118. This two-component coating is designed for excellent chemical resistance and durability on aircraft.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31148APX-T1,10432.579150763,shopify,100,continue,manual,850.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31148APX, Gray Flat, MIL-PRF-85285 Type I/II (QPL)",Hentzen Gray Flat Urethane #36118. High-performance aircraft coating qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,Aviation,,FALSE,3,K31148APX-T1  + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,36118,,,,,,,lb,,,active
hentzen-k31143apx-t1-mil-prf-85285e-type-i,"Hentzen K31143APX-T1 + CAT 06480CMU, Gray Gloss Topcoat, MIL-PRF-85285E Type I (QPL)","<p>Hentzen's Gray Gloss High Solid Urethane, Fed. Std. Color #16473. This durable aerospace coating provides excellent outside durability and chemical resistance.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31143APX-T1,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31143APX, Gray Gloss, MIL-PRF-85285 Type I (QPL)",Hentzen Gray Gloss Urethane #16473. High solids aircraft coating qualified to MIL-PRF-85285E Type I.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,K31143APX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,16473,,,,,,,lb,,,active
hentzen-k31141apx-t1-mil-prf-85285e-type-i,"Hentzen K31141APX-T1, Gray Flat Topcoat, MIL-PRF-85285E Type I (QPL)","<p>Hentzen's Gray Flat High Solid Urethane, Fed. Std. Color #36251. This coating is formulated for outstanding toughness and flexibility for high-performance aircraft applications.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31141APX-T1,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31141APX, Gray Flat, MIL-PRF-85285 Type I (QPL)",Hentzen Gray Flat Urethane #36251. High solids aircraft coating qualified to MIL-PRF-85285E Type I.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,3,K31141APX-T1,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,36251,,,,,,,lb,,,active
hentzen-k31139apx-t1-mil-prf-85285f-type-i,"Hentzen K31139APX-T1 + CAT 06480CMU, Gray Flat Topcoat, MIL-PRF-85285F Type I/II (QPL)","<p>Hentzen's Gray Flat Urethane coating, Fed. Std. 595 Color #36231. This two-component aerospace coating exhibits excellent chemical resistance and outstanding toughness.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31139APX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31139APX, Gray Flat, MIL-PRF-85285 Type I/II (QPL)",Hentzen Gray Flat Urethane #36231. High-performance aircraft coating qualified to MIL-PRF-85285F Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,K31139APX-T1  + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,36231,,,,,,,lb,,,active
