Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Applications (product.metafields.custom.applications),Compliance & Certifications (product.metafields.custom.compliance_certifications),Is Hazmat? (product.metafields.custom.is_hazmat),Lead time (product.metafields.custom.lead_time),Manufacturer Part Number (product.metafields.custom.manufacturer_part_number),Military Specifications (product.metafields.custom.mil_specs),NSN (product.metafields.custom.nsn),QPL (product.metafields.custom.qpl),SAE Color (product.metafields.custom.sae_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hentzen-k31136wpx-t1-mil-prf-85285e-type-i,"Hentzen 31136WPX-T1 + CAT 06480CMU, White Gloss Topcoat, MIL-PRF-85285E Type I/II (QPL)","<p>Hentzen's White Urethane coating, Fed. Std. 595 Color #17875. This two-component coating provides outstanding toughness and excellent durability for aerospace applications.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31136WPX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31136WPX, White Gloss, MIL-PRF-85285 Type I/II (QPL)",Hentzen White Gloss Urethane #17875. High-performance aircraft coating qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,31136WPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,17875,,,,,,,lb,,,active
hentzen-k31134npx-ti-mil-prf-85285e-type-i,"Hentzen 31134NPX-T1 + CAT 06480CMU, Orange Gloss Topcoat, MIL-PRF-85285E Type I/II (QPL)","<p>Hentzen's Orange Gloss High Solid Urethane, Fed. Std. Color #12197. This high-performance coating provides excellent chemical resistance and durability for aerospace applications.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31134NPX-TI,10432.579150763,shopify,100,continue,manual,454.23,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31134NPX, Orange Gloss, MIL-PRF-85285 Type I/II (QPL)",Hentzen Orange Gloss Urethane #12197. High solids aircraft coating qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,30,31134NPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,12197,,,,,,,lb,,,active
hentzen-k31121apx-t1-mil-prf-85285e-type-i,"Hentzen K31121APX-T1 + CAT 06480CMU, Gray Flat Topcoat, MIL-PRF-85285E Type I (QPL)","<p>Hentzen's Gray Flat High Solid Urethane, Fed. Std. Color #36375. This coating exhibits outstanding toughness, flexibility, and excellent outside durability for aircraft use.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31121APX-T1,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31121APX, Gray Flat, MIL-PRF-85285 Type I (QPL)",Hentzen Gray Flat Urethane #36375. High solids aircraft coating qualified to MIL-PRF-85285E Type I.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,K31121APX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,36375,,,,,,,lb,,,active
hentzen-k31115apx-t1-mil-prf-85285e-type-i,"Hentzen K31115APX-T1 + CAT 06480CMU, Gray Semi-Gloss Topcoat, MIL-PRF-85285E Type I/II (QPL)",<p>Hentzen's Gray Semi-Gloss Polyurethane Topcoat. This high solids 2.8 VOC coating is designed for aircraft applications and provides excellent abrasion resistance and durability.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31115APX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31115APX, Gray Topcoat, MIL-PRF-85285 Type I/II (QPL)",Hentzen Gray Semi-Gloss Urethane #26307. High solids aircraft coating qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,K31115APX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,,,,,,,lb,,,active
hentzen-k31112apx-t1-mil-prf-85285e-type-i,"Hentzen K31112APX-T1 + CAT 06480CMU, Gray Gloss Topcoat, MIL-PRF-85285E Type I/II (QPL)","<p>Hentzen's Gray Gloss Urethane coating, Fed. Std. 595 Color #16440. This two-component coating provides outstanding toughness and excellent durability for aerospace use.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31112APX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31112APX, Gray Gloss, MIL-PRF-85285 Type I/II (QPL)",Hentzen Gray Gloss Urethane #16440. High-performance aircraft coating qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,K31112APX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,16440,,,,,,,lb,,,active
hentzen-k31111rpx-t1-mil-prf-85285e-type-i,"Hentzen K31111RPX-71 + CAT 06480CMU, Red Gloss Topcoat, MIL-PRF-85285E Type I/II (QPL)","<p>Hentzen's Red Gloss High Solid Urethane, Fed. Std. Color #11136. This high-performance coating exhibits excellent chemical resistance and durability for aerospace applications.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31111RPX-T1,10432.579150763,shopify,100,continue,manual,454.23,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31111RPX, Red Gloss, MIL-PRF-85285 Type I/II (QPL)",Hentzen Red Gloss Urethane #11136. High solids aircraft coating qualified to MIL-PRF-85285E Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,K31111RPX-71 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,8010-01-528-4840,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,11136,,,,,,,lb,,,active
hentzen-k31105kpx-t1-mil-prf-85285f-type-i,"Hentzen K31105KPX-T1 + CAT 06480CMU, Black Flat Topcoat, MIL-PRF-85285F Type I/II (QPL)","<p>Hentzen's Flat Black High Solid Urethane, Fed. Std. Color #37038. This polyurethane coating provides outstanding toughness and flexibility with excellent outside durability.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31105KPX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31105KPX, Black Flat, MIL-PRF-85285 Type I/II (QPL)",Hentzen Flat Black Urethane #37038. High solids aircraft coating qualified to MIL-PRF-85285F Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,K31105KPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,37038,,,,,,,lb,,,active
hentzen-k31104kpx-t1-mil-prf-85285f-type-i,"Hentzen K31104KPX-T1 + CAT 06480CMU, Black Gloss Topcoat, MIL-PRF-85285F Type I/II (QPL)","<p>Hentzen's Black Gloss High Solid Urethane, Fed. Std. Color #17038. This coating exhibits excellent chemical resistance, toughness, and durability for demanding outside environments.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31104KPX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31104KPX, Black Gloss, MIL-PRF-85285 Type I/II (QPL)",Hentzen Black Gloss Urethane #17038. High solids aircraft coating qualified to MIL-PRF-85285F Type I & II.,1470,,,,,,,,,,,Aviation,,TRUE,3,K31104KPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,17038,,,,,,,lb,,,active
hentzen-k31103wpx-t1-mil-prf-85285e-type-i,"Hentzen K31103WPX-T1, White Flat Topcoat, MIL-PRF-85285E Type I",<p>Hentzen's White Flat High Solids Polyurethane Topcoat. This aircraft application coating is 2.8 VOC and designed to be applied over approved MIL-PRF-23377 or MIL-PRF-85582 primers.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31103WPX-T1,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31103WPX, White Flat, MIL-PRF-85285 Type I",Hentzen Flat White Topcoat kit. High solids 2.8 VOC polyurethane for aircraft applications.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,K31103WPX-T1,mil-prf-85285-f-type-i-class-h,,,,,,,,,,lb,,,active
hentzen-k31102ypx-t1-mil-prf-85285e-type-i,"Hentzen K31102YPX-T1 + CAT 06480CMU, Yellow Gloss Topcoat, MIL-PRF-85285E Type I (QPL)","<p>Hentzen's Yellow Gloss High Solid Urethane, Fed. Std. Color #13538. This coating exhibits outstanding toughness, flexibility, and excellent outside durability for aircraft applications.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,"hazmat, mil-prf-85285",true,Title,Default Title,,,,,,,,HZK31102YPX-T1,10432.579150763,shopify,100,continue,manual,370.95,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31102YPX, Yellow Gloss, MIL-PRF-85285 Type I (QPL)",Hentzen Yellow Gloss Urethane #13538. High solids aerospace coating qualified to MIL-PRF-85285E Type I.,1470,,,,,,,,,,,Aviation,,TRUE,30,K31102YPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,13538,,,,,,,lb,,,active
hentzen-k31101wpx-t1-mil-prf-85285f-type-i,"Hentzen K31101WPX-T1 + CAT 06480CMU, White Gloss Topcoat, MIL-PRF-85285F Type I (QPL)","<p>Hentzen's White Gloss Urethane coating, Fed. Std. 595 Color #17925. This aerospace coating exhibits excellent chemical resistance, toughness, flexibility, and abrasion resistance.</p>",Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZK31101WPX-T1,10432.579150763,shopify,100,continue,manual,454.23,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen K31101WPX, White Gloss, MIL-PRF-85285F Type I (QPL)",Hentzen White Gloss Urethane #17925. High-performance aerospace coating qualified to MIL-PRF-85285F Type I.,1470,,,,,,,,,,,Aviation,,FALSE,3,K31101WPX-T1 + CAT 06480CMU,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,17925,,,,,,,lb,,,active
hentzen-2110gvp_2g-dod-p-15328d-type-primer,"Hentzen 2110GVP_2G, Wash Primer Formula 117, DOD-P-15328D (QPL)",<p>Hentzen's Two Component Wash Primer Formula 117. This high-quality pretreatment primer is qualified to the DOD-P-15328D military specification for superior metal preparation.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"",true,Title,Default Title,,,,,,,,HZK2110GVP_2G,10432.579150763,shopify,100,continue,manual,352.80,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 2110GVP, Wash Primer, DOD-P-15328",Hentzen Wash Primer Formula 117. Two-component pretreatment qualified to DOD-P-15328D.,1470,,,,,,,,,,,Aviation,,FALSE,0,2110GVP_2G,,,,,,,,,,,lb,,,active
hentzen-17176kep-mil-prf-23377k-type-ii,"Hentzen 17176KEP + 16709CEH, Dark Green Epoxy Primer, MIL-PRF-23377K Type II Class N (QPL)","<p>Hentzen's Dark Green Aerospace High Performance Primer, Chromate-Free. This epoxy primer has been formulated to have excellent corrosion resistance and meet all specification performance requirements.</p>",Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-23377",true,Title,Default Title,,,,,,,,HZK17176KEP_G,10432.579150763,shopify,2,continue,manual,673.45,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 17176KEP, Dark Green Primer, MIL-PRF-23377 Type II (QPL)",Hentzen Dark Green Aerospace Primer 17176KEP/16709CEH. Chromate-free epoxy with excellent corrosion resistance. QPL MIL-PRF-23377.,1470,,,,,,,,,,,Aviation,,TRUE,90,17176KEP + 16709CEH,mil-prf-23377-type-ii-class-n,,mil-prf-23377-type-ii-class-n,,,,,,,,lb,,,active
hentzen-16708tep-mil-prf-23377k-type-ii,"Hentzen 16708TEP + 16709CEH, Tan Epoxy Primer, MIL-PRF-23377K Type II Class N (QPL)",<p>Hentzen's Tan Non-Chrome Aero Epoxy Primer. This high-performance primer is qualified to MIL-PRF-23377K Type II Class N and multiple LMCO specifications for propeller and aerospace use.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"hazmat, mil-prf-23377",true,Title,Default Title,,,,,,,,HZK16708TEP_G,10432.579150763,shopify,6,continue,manual,650.99,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 16708TEP, Tan Primer, MIL-PRF-23377K Type II (QPL)",Hentzen Tan Non-Chrome Epoxy Primer. Qualified to MIL-PRF-23377K Type II Class N and LMCO EMAP.,1470,,,,,,,,,,,Aviation,LMCO EMAP; LMCO FQML-P-23377-7,TRUE,90,16708TEP + 16709CEH,mil-prf-23377-type-ii-class-n,,mil-prf-23377-type-ii-class-n,,,,,,,,lb,,,active
hentzen-02110vvp-dod-p-15328d-type-primer,"Hentzen 02110VVP + 02111SSC, Green Wash Primer, DOD-P-15328D (QPL)",<p>Hentzen's Green Wash Primer Pretreatment (Formula 117). This defense primer is designed for metals and is qualified to the DOD-P-15328D specification.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,hazmat,true,Title,Default Title,,,,,,,,HZK02110GVP  KIT-2GL,10432.579150763,shopify,4,continue,manual,352.85,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 02110GVP, Green Wash Primer, DOD-P-15328 (QPL)",Hentzen Green Wash Primer (Formula 117) for metals. Qualified to DOD-P-15328D. 2-gallon kit.,1470,,,,,,,,,,,Aviation,,TRUE,30,02110VVP + 02111SSC,,8030-00-281-2726,,,,,,,,,lb,,,active
hentzen-53039wpx-mep-10-070-type-primer,"Hentzen 53039WPX + 53021CMU, White Primer Surfacer, MEP 10-070",<p>Hentzen's White High Performance Sprayable Surfacer. This urethane primer surface is designed for a 3:1 volume mix and meets all requirements of the MEP 10-070 specification.</p>,Hentzen,Business & Industrial > Manufacturing,Primer,"",true,Title,Default Title,,,,,,,,HZ53039WPX,10432.579150763,shopify,100,continue,manual,485.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 53039WPX, White Primer, MEP 10-070",Hentzen White Primer Surfacer. High-performance sprayable surfacer meeting MEP 10-070 requirements.,1470,,,,,,,,,,,Aviation,MEP 10-070,FALSE,0,53039WPX + 53021CMU,,,,,,,,,,,lb,,,active
hentzen-35631apx-mil-prf-85285-type-i,"Hentzen 35631APX + 35502CMU, Gray Topcoat, MIL-PRF-85285 Type I/IV Class H (QPL)",<p>Hentzen's Gray Polyurethane Topcoat kit for aerospace applications. This product is qualified to FMS-1027 Type V and MIL-PRF-85285 Type I and IV Class H specifications.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZ35631APX-35502CMU,10432.579150763,shopify,100,continue,manual,511.75,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 35631APX, Gray Topcoat, MIL-PRF-85285 Type I/IV (QPL)",Hentzen Gray Topcoat kit. Qualified to MIL-PRF-85285 Type I & IV and FMS-1027 Type V.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",FMS 1027 Type V,FALSE,0,35631APX + 35502CMU,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,,,,,,,lb,,,active
hentzen-35620apx-mil-prf-85285-type-i,"Hentzen 35620APX, Gray Flat Topcoat, MIL-PRF-85285 Type I/IV Class H",<p>Hentzen's Gray Flat High Solids Polyurethane Topcoat. This aircraft application coating is 2.8 VOC and should be applied over approved MIL-PRF-23377 or MIL-PRF-85582 primers.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZ35620APX-TI,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 35620APX, Gray Flat, MIL-PRF-85285 Type I/IV",Hentzen Gray Flat Topcoat. High solids 2.8 VOC polyurethane for aircraft applications. Meets MIL-PRF-85285 Type I & IV.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,35620APX,mil-prf-85285-f-type-i-class-h; mil-prf-85285-f-type-iv-class-h,,,36375,,,,,,,lb,,,active
hentzen-31491gpx-mil-prf-85285-type-1,"Hentzen 81144GPX, Green Gloss Topcoat, MIL-PRF-85285 Type I Class H (QPL)",<p>Hentzen's Green Gloss Polyurethane Topcoat for aviation and industrial use. This coating is qualified to the MIL-PRF-85285 Type I Class H specification for high-performance protection.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,false,Title,Default Title,,,,,,,,HZ31491GPX-T1 NONTIN,10432.579150763,shopify,100,continue,manual,100.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 31491GPX, Green Gloss, MIL-PRF-85285 Type I (QPL)",Hentzen Green Gloss Topcoat. High-performance 3/1 mix polyurethane qualified to MIL-PRF-85285 Type 1 Class H.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,81144GPX,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,,,,,,,,lb,,,draft
hentzen-31360wpx-mil-prf-85285-type-1,"Hentzen 31360WPX, White Semi-Gloss Topcoat, MIL-PRF-85285 Type I Class H (QPL)",<p>Hentzen's Semi-Gloss White Polyurethane Topcoat base for aircraft applications. This single component base is qualified to the MIL-PRF-85285 Type I Class H specification.</p>,Hentzen,Business & Industrial > Manufacturing,Topcoat,mil-prf-85285,true,Title,Default Title,,,,,,,,HZ31360WPX-T1,10432.579150763,shopify,100,continue,manual,393.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0750/8767/5550/files/hentzen-mil-gallon-1024-600x600_553234da-e4d1-4fdd-b13c-043a553e9006.jpg?v=1767818473,1,hentzen-branded paint can on a blue background,false,"Hentzen 31360WPX, White Topcoat, MIL-PRF-85285 Type I (QPL)",Hentzen White Semi-Gloss Topcoat base. High-performance aerospace coating qualified to MIL-PRF-85285 Type 1 Class H.,1470,,,,,,,,,,,"Aviation
Industrial
Marine",,FALSE,0,31360WPX,mil-prf-85285-f-type-i-class-h,,mil-prf-85285-f-type-i-class-h,,,,,,,,lb,,,active
